,Application,Category Tags,Company,Filename,Height (cm),Model Name,Origin Country,Product URL,Type,Width (cm)
41,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-plank-06-comf-r_r-500-500-60-user-data-collections-4004-21940-1713753008.jpg,1200,Nature Mood Plank 06 Comf R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Plank-06-Comf-R-4004?image=21940,Tiles,2800
42,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nm-mou-12-glo_r-500-500-60-user-data-collections-4004-21948-1713766603.jpg,1200,NM Mou 12 Glo,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-NM-Mou-12-Glo-4004?image=21948,Tiles,2800
43,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nm-tun-12-com_r-500-500-60-user-data-collections-4004-21949-1713766604.jpg,1200,NM Tun 12 Com,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-NM-Tun-12-Com-4004?image=21949,Tiles,2800
44,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,woodslate-life-storm-matt-r_r-500-500-60-user-data-collections-4003-21924-1713748087.jpg,1200,Woodslate Life Storm Matt R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Woodslate-Life-Storm-Matt-R-4003?image=21924,Tiles,2800
45,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,woodslate-life-storm-matt-r_r-500-500-60-user-data-collections-4003-21925-1713748088.jpg,1200,Woodslate Life Storm Matt R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Woodslate-Life-Storm-Matt-R-4003?image=21925,Tiles,2800
46,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,woodslate-life-cotton-matt-r_r-500-500-60-user-data-collections-4003-21926-1713748100.jpg,1200,Woodslate Life Cotton Matt R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Woodslate-Life-Cotton-Matt-R-4003?image=21926,Tiles,2800
47,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,woodslate-life-cotton-matt-r_r-500-500-60-user-data-collections-4003-21927-1713748101.jpg,1200,Woodslate Life Cotton Matt R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Woodslate-Life-Cotton-Matt-R-4003?image=21927,Tiles,2800
48,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,woodslate-life-bark-matt-r_r-500-500-60-user-data-collections-4003-21928-1713748112.jpg,1200,Woodslate Life Bark Matt R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Woodslate-Life-Bark-Matt-R-4003?image=21928,Tiles,2800
49,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,woodslate-life-bark-matt-r_r-500-500-60-user-data-collections-4003-21929-1713748113.jpg,1200,Woodslate Life Bark Matt R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Woodslate-Life-Bark-Matt-R-4003?image=21929,Tiles,2800
50,"Wall, Floor","Glazed Porcelain Tile, Recommended joint width at 3-5mm, Shade and Veins Variation",Hafary,e915060_r-500-500-60-user-data-collections-4002-21923-1713504504.jpg,150,E915060,China,https://www.hafary.com.sg/collection/Tiles/-E915060-4002?image=21923,Tiles,900
51,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,p-a-black-ret_r-500-500-60-user-data-collections-4001-21912-1713349474.jpg,600,P.A Black Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Ceramiche-CCV-Castelvetro-P.A-Black-Ret-4001?image=21912,Tiles,600
52,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,p-a-black-ret_r-500-500-60-user-data-collections-4001-21913-1713349475.jpg,600,P.A Black Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Ceramiche-CCV-Castelvetro-P.A-Black-Ret-4001?image=21913,Tiles,600
53,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,p-a-iron-ret_r-500-500-60-user-data-collections-4001-21914-1713349476.jpg,600,P.A Iron Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Ceramiche-CCV-Castelvetro-P.A-Iron-Ret-4001?image=21914,Tiles,600
54,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,p-a-iron-ret_r-500-500-60-user-data-collections-4001-21915-1713349477.jpg,600,P.A Iron Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Ceramiche-CCV-Castelvetro-P.A-Iron-Ret-4001?image=21915,Tiles,600
55,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,p-a-smoke-ret_r-500-500-60-user-data-collections-4001-21916-1713349516.jpg,600,P.A Smoke Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Ceramiche-CCV-Castelvetro-P.A-Smoke-Ret-4001?image=21916,Tiles,600
