Name,Color 1,Color 2,Color 3,Color 4
Chocolate Pastries,#F0E7E4,#131919,#634F40,#B49A87
Basking the Ambience,#FAFBF4,#00A0F3,#0000FF,#000066
Fall Fashion,#F3CC3C,#D19A30,#7D3F20,#000000
Sun Drenched Blooms,#FBDC6A,#B12B24,#760504,#090A0E
Winter Sport,#ECF1F2,#7F7F7F,#F4D800,#050707
Mermaid Fin,#65DFF6,#00478F,#1A83CC,#CBEBF5
Terracotta Workshop,#BBC0B6,#D58469,#F0EDE4,#435861
Northern Lights 3,#088280,#063340,#008000,#04D010
Blossom Rows,#3C4C70,#DCA1B0,#EDEEF1,#9168A0
Lead the Way,#2B6670,#637E90,#77A7B0,#E5F2F0
Winter Warmth,#970C10,#EFF4F0,#384640,#244C60
Green Tracks,#1E3148,#9E6F6D,#E6D7D5,#43B14B
Ode to Sea,#0074DD,#9BCCFD,#36D6E7,#81599F
Autumn's Here,#F76201,#FEEBA0,#D41E00,#672901
Spring Contrast,#104210,#6A8820,#D3C02F,#F2E437
October Skies,#9271C2,#2D1674,#FFF2FF,#703ACF
Quill and Carton,#E3E6E0,#252930,#C0B3A0,#6B8490
Lost in Leaves,#2B4310,#4E7130,#C9B590,#95B250
Hand in Hand,#B83330,#CBD7D0,#F3EDE0,#D5B690
Shake Your Feathers,#043BB1,#1E8AD3,#10BC10,#1D3537
Bubblegum Popstar,#FDF2E7,#FEE900,#04D3BC,#FECCC8
Sweet Succulents,#D0B49F,#C0D39A,#4F5F2C,#2A291C
Xylem Drops,#016236,#02894B,#06040A,#BED3AB
Nature Tunes,#E9DAC4,#39221F,#EF813E,#5E6826
Perfect Contrasts,#0000A3,#004197,#7F3E71,#DF265E
Plum Tulips,#3F6D3C,#F7BBDB,#FF0BAC,#7B163E
Hot Air Weekend,#2B18A3,#F353D5,#E9D8E1,#88C9FA
Sweater Weather,#3B2244,#105160,#2D7670,#CD966B
Freeze this Moment,#003366,#71B1C5,#CBE6EF,#F0F2F3
Plum Kisses,#7A0051,#D3B1C2,#240831,#E44B7D
